ip,hostname
192.168.10.1,Non résolu
192.168.10.2,Non résolu
192.168.10.3,Non résolu
192.168.10.4,Non résolu
192.168.10.5,Non résolu
192.168.10.6,Non résolu
192.168.10.7,Non résolu
192.168.10.8,Non résolu
192.168.10.9,Non résolu
192.168.10.10,Non résolu
192.168.10.11,Non résolu
192.168.10.12,Non résolu
192.168.10.13,Non résolu
192.168.10.14,Non résolu
192.168.10.15,Non résolu
192.168.10.16,Non résolu
192.168.10.17,Non résolu
192.168.10.18,Non résolu
192.168.10.19,Non résolu
192.168.10.20,Non résolu
192.168.10.21,Non résolu
192.168.10.22,Non résolu
192.168.10.23,Non résolu
192.168.10.24,Non résolu
192.168.10.25,Non résolu
192.168.10.26,Non résolu
192.168.10.27,Non résolu
192.168.10.28,Non résolu
192.168.10.29,Non résolu
192.168.10.30,Non résolu
192.168.10.31,Non résolu
192.168.10.32,Non résolu
192.168.10.33,Non résolu
192.168.10.34,Non résolu
192.168.10.35,Non résolu
192.168.10.36,vtx-ap09.interne.smart-telecom.ch
192.168.10.37,vtx-ap10.interne.smart-telecom.ch
192.168.10.38,Non résolu
192.168.10.39,vtx-ap12.interne.smart-telecom.ch
192.168.10.40,vtx-ap13.interne.smart-telecom.ch
192.168.10.41,Non résolu
192.168.10.42,bwe-laptop.interne.smart-telecom.ch
192.168.10.43,nb-pul-059.interne.smart-telecom.ch
192.168.10.44,lw-prn-srv01.interne.smart-telecom.ch
192.168.10.45,snomd765-909754.interne.smart-telecom.ch
192.168.10.46,sip-t46g.interne.smart-telecom.ch
192.168.10.47,nb-acs-003.interne.smart-telecom.ch
192.168.10.48,spa112.interne.smart-telecom.ch
192.168.10.49,nb-acs-015.interne.smart-telecom.ch
192.168.10.50,pf1tcnwq-win.ad.celeste.fr
192.168.10.51,sip-t46g.interne.smart-telecom.ch
192.168.10.52,sip-t53w.interne.smart-telecom.ch
192.168.10.53,sip-t58w.interne.smart-telecom.ch
192.168.10.54,snom725-8b1f46.interne.smart-telecom.ch
192.168.10.55,sip-t46s.interne.smart-telecom.ch
192.168.10.56,nb-acs-006.interne.smart-telecom.ch
192.168.10.57,sip-t54w.interne.smart-telecom.ch
192.168.10.58,nb-acs-020.interne.smart-telecom.ch
192.168.10.59,nb-acs-013.interne.smart-telecom.ch
192.168.10.60,sip-t42u.interne.smart-telecom.ch
192.168.10.61,snomd785-9286af.interne.smart-telecom.ch
192.168.10.62,base-dm-int-589ec600c884.interne.smart-telecom.ch
192.168.10.63,nb-acs-042.interne.smart-telecom.ch
192.168.10.64,nb-acs-010.interne.smart-telecom.ch
192.168.10.65,sip-t48u.interne.smart-telecom.ch
192.168.10.66,Non résolu
192.168.10.67,sip-t48g.interne.smart-telecom.ch
192.168.10.68,Non résolu
192.168.10.69,Non résolu
192.168.10.70,Non résolu
192.168.10.71,snomd785-9230ff.interne.smart-telecom.ch
192.168.10.72,Non résolu
192.168.10.73,prn-acs-101.interne.smart-telecom.ch
192.168.10.74,prn-acs-02.interne.smart-telecom.ch
192.168.10.75,nb-acs-003.interne.smart-telecom.ch
192.168.10.76,nb-acs-042.interne.smart-telecom.ch
192.168.10.77,nb-acs-015.interne.smart-telecom.ch
192.168.10.78,nb-acs-042.interne.smart-telecom.ch
192.168.10.79,Non résolu
192.168.10.80,switch1eeb4e.interne.smart-telecom.ch
192.168.10.81,sip-t46g.interne.smart-telecom.ch
192.168.10.82,nb-pul-044.interne.smart-telecom.ch
192.168.10.83,nb-acs-004.interne.smart-telecom.ch
192.168.10.84,nb-pul-063.interne.smart-telecom.ch
192.168.10.85,nb-pul-053.interne.smart-telecom.ch
192.168.10.86,nb-acs-044.interne.smart-telecom.ch
192.168.10.87,nb-acs-018.interne.smart-telecom.ch
192.168.10.88,nb-acs-013.interne.smart-telecom.ch
192.168.10.89,sip-t46g.interne.smart-telecom.ch
192.168.10.90,Non résolu
192.168.10.91,sip-t48s.interne.smart-telecom.ch
192.168.10.92,Non résolu
192.168.10.93,Non résolu
192.168.10.94,nb-acs-043.interne.smart-telecom.ch
192.168.10.95,Non résolu
192.168.10.96,Non résolu
192.168.10.97,sip-t53.interne.smart-telecom.ch
192.168.10.98,Non résolu
192.168.10.99,Non résolu
192.168.10.100,sip-t58.interne.smart-telecom.ch
192.168.10.101,Non résolu
192.168.10.102,Non résolu
192.168.10.103,Non résolu
192.168.10.104,Non résolu
192.168.10.105,nb-acs-044.interne.smart-telecom.ch
192.168.10.106,sip-t46g.interne.smart-telecom.ch
192.168.10.107,Non résolu
192.168.10.108,Non résolu
192.168.10.109,Non résolu
192.168.10.110,Non résolu
192.168.10.111,Non résolu
192.168.10.112,Non résolu
192.168.10.113,Non résolu
192.168.10.114,Non résolu
